model,json_file,section,BERTScore_F1,BERTScore_P,BERTScore_R,F,R,A,C,U
RLHFlow/LLaMA3-SFT,fiit2018.json,ethical_considerations,-0.09524112194776535,-0.0012391488999128342,-0.1654539853334427,1,1,1,1,1
RLHFlow/LLaMA3-SFT,fiit2018.json,caveats_recommendations,0.28526681661605835,0.3049279451370239,0.2632073760032654,5,5,5,5,5
RLHFlow/LLaMA3-SFT,u9n79gil.json,model_details,0.08694738149642944,0.2380116879940033,-0.018458779901266098,3,3,3,2,3
RLHFlow/LLaMA3-SFT,u9n79gil.json,intended_use,-0.10080264508724213,0.006241353694349527,-0.17686080932617188,1,1,1,1,1
RLHFlow/LLaMA3-SFT,u9n79gil.json,generative_capabilities,-0.09814177453517914,0.0015626557869836688,-0.17096149921417236,1,1,1,1,1
RLHFlow/LLaMA3-SFT,u9n79gil.json,safety_considerations,-0.09814177453517914,0.0015626557869836688,-0.17096149921417236,2,2,2,2,2
RLHFlow/LLaMA3-SFT,u9n79gil.json,training_data,0.2169196903705597,0.33430778980255127,0.12418897449970245,4,4,4,4,4
RLHFlow/LLaMA3-SFT,u9n79gil.json,performance_metrics,0.06928691267967224,0.22589223086833954,-0.03765479847788811,2,2,2,2,2
RLHFlow/LLaMA3-SFT,u9n79gil.json,ethical_considerations,-0.09524112194776535,-0.0012391488999128342,-0.1654539853334427,1,1,1,1,1
RLHFlow/LLaMA3-SFT,u9n79gil.json,caveats_recommendations,-0.10379079729318619,0.012095744721591473,-0.18353399634361267,1,1,1,1,1
RLHFlow/LLaMA3-SFT,0mvzmuf8.json,model_details,0.405318945646286,0.6131554245948792,0.2585649788379669,5,5,5,5,5
RLHFlow/LLaMA3-SFT,0mvzmuf8.json,intended_use,0.38778945803642273,0.7186673283576965,0.1921817809343338,4,5,4,5,4
RLHFlow/LLaMA3-SFT,0mvzmuf8.json,generative_capabilities,0.18761366605758667,0.37027668952941895,0.06288792192935944,3,5,3,4,3
RLHFlow/LLaMA3-SFT,0mvzmuf8.json,safety_considerations,-0.09814177453517914,0.0015626557869836688,-0.17096149921417236,1,5,1,5,1
RLHFlow/LLaMA3-SFT,0mvzmuf8.json,training_data,0.3055768311023712,0.5370053648948669,0.15329496562480927,5,5,5,5,5
RLHFlow/LLaMA3-SFT,0mvzmuf8.json,performance_metrics,0.147927388548851,0.2683747410774231,0.055367760360240936,3,5,3,3,3
RLHFlow/LLaMA3-SFT,0mvzmuf8.json,ethical_considerations,-0.09524112194776535,-0.0012391488999128342,-0.1654539853334427,1,5,1,5,1
RLHFlow/LLaMA3-SFT,0mvzmuf8.json,caveats_recommendations,0.35284778475761414,0.5832982659339905,0.19828994572162628,5,5,5,5,5
RLHFlow/LLaMA3-SFT,438tgbcv.json,model_details,0.40556055307388306,0.42539018392562866,0.3837755620479584,5,5,5,5,5
RLHFlow/LLaMA3-SFT,438tgbcv.json,intended_use,0.23645535111427307,0.29976823925971985,0.17877130210399628,5,5,5,5,5
RLHFlow/LLaMA3-SFT,438tgbcv.json,generative_capabilities,0.28069183230400085,0.3254937529563904,0.23713533580303192,5,5,4,4,5
RLHFlow/LLaMA3-SFT,438tgbcv.json,safety_considerations,0.18653222918510437,0.24287475645542145,0.13428369164466858,4,5,4,4,4
RLHFlow/LLaMA3-SFT,438tgbcv.json,training_data,0.3007792830467224,0.34205251932144165,0.26009601354599,5,5,5,5,5
RLHFlow/LLaMA3-SFT,438tgbcv.json,performance_metrics,0.24844926595687866,0.266736775636673,0.22750800848007202,5,5,5,5,5
RLHFlow/LLaMA3-SFT,438tgbcv.json,ethical_considerations,0.09387602657079697,0.19610904157161713,0.012999038212001324,3,5,3,4,3
RLHFlow/LLaMA3-SFT,438tgbcv.json,caveats_recommendations,0.295828253030777,0.3719264566898346,0.22847899794578552,5,5,5,5,5
TheBloke/CodeLlama-7B-GGUF,arlw3mg2.json,model_details,-0.14945925772190094,-0.10138165950775146,-0.19266419112682343,3,4,4,4,4
TheBloke/CodeLlama-7B-GGUF,arlw3mg2.json,intended_use,-0.1621837019920349,-0.10753432661294937,-0.20915453135967255,3,4,4,4,4
TheBloke/CodeLlama-7B-GGUF,arlw3mg2.json,generative_capabilities,0.15475472807884216,0.19086854159832,0.11831784248352051,4,4,4,4,4
TheBloke/CodeLlama-7B-GGUF,arlw3mg2.json,safety_considerations,0.12239734828472137,0.11880846321582794,0.12176056206226349,4,4,4,4,4
TheBloke/CodeLlama-7B-GGUF,arlw3mg2.json,training_data,0.11602186411619186,0.15319588780403137,0.0787649005651474,4,4,4,4,4
TheBloke/CodeLlama-7B-GGUF,arlw3mg2.json,performance_metrics,0.1710767298936844,0.2076389342546463,0.13426801562309265,4,4,4,4,4
TheBloke/CodeLlama-7B-GGUF,arlw3mg2.json,ethical_considerations,-0.15177614986896515,-0.10270367562770844,-0.19556646049022675,3,3,3,3,3
TheBloke/CodeLlama-7B-GGUF,arlw3mg2.json,caveats_recommendations,0.08375184237957001,0.146783247590065,0.027517613023519516,4,4,4,4,4
TheBloke/CodeLlama-7B-GGUF,5cfzfdsn.json,model_details,-0.14945925772190094,-0.10138165950775146,-0.19266419112682343,1,1,1,1,1
TheBloke/CodeLlama-7B-GGUF,5cfzfdsn.json,intended_use,0.055492423474788666,0.1663684993982315,-0.02896156534552574,5,5,5,5,5
TheBloke/CodeLlama-7B-GGUF,5cfzfdsn.json,generative_capabilities,0.11917397379875183,0.1643434315919876,0.07565490901470184,5,5,5,5,5
TheBloke/CodeLlama-7B-GGUF,5cfzfdsn.json,safety_considerations,0.1405014842748642,0.14415235817432404,0.13280035555362701,5,5,5,5,5
TheBloke/CodeLlama-7B-GGUF,5cfzfdsn.json,training_data,0.1143966019153595,0.1470838338136673,0.08076763153076172,5,5,5,5,5
TheBloke/CodeLlama-7B-GGUF,5cfzfdsn.json,performance_metrics,0.03374861925840378,0.14724557101726532,-0.051291514188051224,5,5,5,5,5
TheBloke/CodeLlama-7B-GGUF,5cfzfdsn.json,ethical_considerations,-0.15177614986896515,-0.10270367562770844,-0.19556646049022675,1,1,1,1,1
TheBloke/CodeLlama-7B-GGUF,5cfzfdsn.json,caveats_recommendations,-0.1682853251695633,-0.11074408143758774,-0.21679100394248962,1,1,1,1,1
TheBloke/CodeLlama-7B-GGUF,czxvml90.json,model_details,0.2300063967704773,0.2699207663536072,0.19044417142868042,5,5,4,5,5
TheBloke/CodeLlama-7B-GGUF,czxvml90.json,intended_use,-0.029750432819128036,0.09095127135515213,-0.11555412411689758,4,5,4,5,5
TheBloke/CodeLlama-7B-GGUF,czxvml90.json,generative_capabilities,0.12103509902954102,0.2000536024570465,0.0536753386259079,4,5,5,5,5
TheBloke/CodeLlama-7B-GGUF,czxvml90.json,safety_considerations,0.04120466485619545,0.14428231120109558,-0.03861777111887932,4,5,4,5,4
TheBloke/CodeLlama-7B-GGUF,czxvml90.json,training_data,0.03863299638032913,0.19149531424045563,-0.06498564779758453,4,4,4,4,4
TheBloke/CodeLlama-7B-GGUF,czxvml90.json,performance_metrics,0.023230908438563347,0.10972417145967484,-0.046799588948488235,4,4,4,5,4
TheBloke/CodeLlama-7B-GGUF,czxvml90.json,ethical_considerations,0.018640687689185143,0.13449059426784515,-0.0669981986284256,4,5,4,5,5
TheBloke/CodeLlama-7B-GGUF,czxvml90.json,caveats_recommendations,0.06782727688550949,0.1803712397813797,-0.017923660576343536,5,5,5,5,5
TheBloke/CodeLlama-7B-GGUF,pxrlzu6w.json,model_details,0.23367197811603546,0.26620912551879883,0.20023079216480255,5,5,5,5,4
TheBloke/CodeLlama-7B-GGUF,pxrlzu6w.json,intended_use,0.08196943253278732,0.12977707386016846,0.03662136197090149,5,5,5,5,5
TheBloke/CodeLlama-7B-GGUF,pxrlzu6w.json,generative_capabilities,0.12973065674304962,0.1865512579679489,0.07747524976730347,5,5,5,5,5
TheBloke/CodeLlama-7B-GGUF,pxrlzu6w.json,safety_considerations,0.08054093271493912,0.11381709575653076,0.046450912952423096,4,5,5,5,5
TheBloke/CodeLlama-7B-GGUF,pxrlzu6w.json,training_data,0.023564213886857033,0.1308107227087021,-0.05788559466600418,3,4,4,5,4
TheBloke/CodeLlama-7B-GGUF,pxrlzu6w.json,performance_metrics,0.11871516704559326,0.15528938174247742,0.08193498849868774,4,5,5,5,5
TheBloke/CodeLlama-7B-GGUF,pxrlzu6w.json,ethical_considerations,0.1553955376148224,0.16451208293437958,0.14255133271217346,5,5,5,5,5
TheBloke/CodeLlama-7B-GGUF,pxrlzu6w.json,caveats_recommendations,0.07152146100997925,0.1126580536365509,0.031261276453733444,4,4,5,5,5
TheBloke/CodeLlama-7B-GGUF,mx3n0kga.json,model_details,0.08171883970499039,0.17386315762996674,0.00698702409863472,2,3,3,3,3
TheBloke/CodeLlama-7B-GGUF,mx3n0kga.json,intended_use,-0.0284025389701128,0.0946788638830185,-0.11535615473985672,2,2,2,2,2
TheBloke/CodeLlama-7B-GGUF,mx3n0kga.json,generative_capabilities,0.08264707773923874,0.1679287999868393,0.012019878253340721,5,5,5,5,5
TheBloke/CodeLlama-7B-GGUF,mx3n0kga.json,safety_considerations,0.0633101537823677,0.11743216216564178,0.013491915538907051,4,4,4,4,4
TheBloke/CodeLlama-7B-GGUF,mx3n0kga.json,training_data,0.04777037724852562,0.12166943401098251,-0.015133010223507881,2,2,2,2,2
TheBloke/CodeLlama-7B-GGUF,mx3n0kga.json,performance_metrics,0.08563518524169922,0.15375296771526337,0.0259348526597023,4,4,4,4,4
TheBloke/CodeLlama-7B-GGUF,mx3n0kga.json,ethical_considerations,-0.05028536915779114,0.05294066667556763,-0.12688466906547546,2,2,2,2,2
TheBloke/CodeLlama-7B-GGUF,mx3n0kga.json,caveats_recommendations,0.007098541595041752,0.10286462306976318,-0.0676976665854454,3,3,3,3,3
TheBloke/CodeLlama-7B-GGUF,zu41ugl3.json,model_details,0.2654658854007721,0.2808138430118561,0.2472705841064453,5,5,5,5,5
TheBloke/CodeLlama-7B-GGUF,zu41ugl3.json,intended_use,0.054933831095695496,0.10715220868587494,0.006540999747812748,5,5,5,5,5
TheBloke/CodeLlama-7B-GGUF,zu41ugl3.json,generative_capabilities,0.10286770761013031,0.17789539694786072,0.03837045654654503,4,5,4,4,4
TheBloke/CodeLlama-7B-GGUF,zu41ugl3.json,safety_considerations,0.0848163440823555,0.11557754874229431,0.05276881158351898,4,5,4,5,4
TheBloke/CodeLlama-7B-GGUF,zu41ugl3.json,training_data,-0.06857816874980927,0.06101524084806442,-0.15613588690757751,2,5,2,4,2
TheBloke/CodeLlama-7B-GGUF,zu41ugl3.json,performance_metrics,0.07996430993080139,0.14854292571544647,0.02002977952361107,3,5,3,4,3
TheBloke/CodeLlama-7B-GGUF,zu41ugl3.json,ethical_considerations,0.14223039150238037,0.24648715555667877,0.058961641043424606,2,5,2,4,2
TheBloke/CodeLlama-7B-GGUF,zu41ugl3.json,caveats_recommendations,0.03656167536973953,0.12023567408323288,-0.03212394937872887,5,5,5,5,5
TheBloke/CodeLlama-7B-GGUF,wxdrlcml.json,model_details,0.21885883808135986,0.2934904098510742,0.15322935581207275,3,5,3,4,3
TheBloke/CodeLlama-7B-GGUF,wxdrlcml.json,intended_use,-0.02651187963783741,0.0875634178519249,-0.10937521606683731,5,5,5,5,5
TheBloke/CodeLlama-7B-GGUF,wxdrlcml.json,generative_capabilities,0.15475472807884216,0.19086854159832,0.11831784248352051,5,5,5,5,5
TheBloke/CodeLlama-7B-GGUF,wxdrlcml.json,safety_considerations,0.12239734828472137,0.11880846321582794,0.12176056206226349,5,5,5,5,5
TheBloke/CodeLlama-7B-GGUF,wxdrlcml.json,training_data,0.11602186411619186,0.15319588780403137,0.0787649005651474,5,5,5,5,5
TheBloke/CodeLlama-7B-GGUF,wxdrlcml.json,performance_metrics,0.1710767298936844,0.2076389342546463,0.13426801562309265,5,5,5,5,5
TheBloke/CodeLlama-7B-GGUF,wxdrlcml.json,ethical_considerations,0.10468260198831558,0.16791827976703644,0.04809071868658066,4,5,4,4,4
TheBloke/CodeLlama-7B-GGUF,wxdrlcml.json,caveats_recommendations,0.16870242357254028,0.2006559818983078,0.13569235801696777,5,5,5,5,5
facebook/mms-tts-gil,w83y0mah.json,model_details,0.38606566190719604,0.3709392845630646,0.3986422121524811,5,5,5,5,5
facebook/mms-tts-gil,w83y0mah.json,intended_use,0.3036842942237854,0.41868364810943604,0.2104806751012802,5,5,5,5,5
facebook/mms-tts-gil,w83y0mah.json,generative_capabilities,0.2683463394641876,0.3239147365093231,0.2163330465555191,4,5,4,4,4
facebook/mms-tts-gil,w83y0mah.json,safety_considerations,0.24799087643623352,0.28303036093711853,0.21245980262756348,5,5,5,5,5
facebook/mms-tts-gil,w83y0mah.json,training_data,0.3204018771648407,0.33722439408302307,0.3010583221912384,5,5,5,5,5
facebook/mms-tts-gil,w83y0mah.json,performance_metrics,0.27395331859588623,0.30552321672439575,0.24139055609703064,5,5,5,5,5
facebook/mms-tts-gil,w83y0mah.json,ethical_considerations,-0.13663072884082794,-0.06587398052215576,-0.19339320063591003,2,5,2,4,2
facebook/mms-tts-gil,w83y0mah.json,caveats_recommendations,-0.16784577071666718,-0.11268032342195511,-0.21498724818229675,1,5,1,5,1
facebook/mms-tts-gil,ym2zbppf.json,model_details,0.41973167657852173,0.4172554314136505,0.419411838054657,5,5,5,5,5
facebook/mms-tts-gil,ym2zbppf.json,intended_use,0.32228973507881165,0.42551589012145996,0.23620612919330597,5,5,5,5,5
facebook/mms-tts-gil,ym2zbppf.json,generative_capabilities,0.30969059467315674,0.32957661151885986,0.28751128911972046,4,5,4,4,4
facebook/mms-tts-gil,ym2zbppf.json,safety_considerations,0.24177415668964386,0.27133092284202576,0.21088100969791412,5,5,5,5,5
facebook/mms-tts-gil,ym2zbppf.json,training_data,0.2591954469680786,0.2568027377128601,0.25801676511764526,5,5,5,5,5
facebook/mms-tts-gil,ym2zbppf.json,performance_metrics,0.2701845169067383,0.32698312401771545,0.2172219157218933,4,5,4,4,4
facebook/mms-tts-gil,ym2zbppf.json,ethical_considerations,0.06698612123727798,0.1276530921459198,0.012554212473332882,1,5,1,5,1
facebook/mms-tts-gil,ym2zbppf.json,caveats_recommendations,-0.16784577071666718,-0.11268032342195511,-0.21498724818229675,1,5,1,5,1
facebook/mms-tts-gil,o5mn32u1.json,model_details,0.5143581628799438,0.5573856830596924,0.4723915457725525,5,5,5,5,5
facebook/mms-tts-gil,o5mn32u1.json,intended_use,0.33506131172180176,0.4088386297225952,0.2690984010696411,5,5,5,5,5
facebook/mms-tts-gil,o5mn32u1.json,generative_capabilities,0.29599690437316895,0.34727224707603455,0.24725261330604553,5,5,5,5,5
facebook/mms-tts-gil,o5mn32u1.json,safety_considerations,0.2542359530925751,0.309063583612442,0.20283979177474976,5,5,5,5,5
facebook/mms-tts-gil,o5mn32u1.json,training_data,0.32823529839515686,0.3770921528339386,0.281369149684906,4,5,4,5,4
facebook/mms-tts-gil,o5mn32u1.json,performance_metrics,0.29262831807136536,0.33964061737060547,0.24728138744831085,5,5,5,5,5
facebook/mms-tts-gil,o5mn32u1.json,ethical_considerations,0.25687891244888306,0.2871759533882141,0.2253769338130951,5,5,5,5,5
facebook/mms-tts-gil,o5mn32u1.json,caveats_recommendations,0.3251865804195404,0.4152562916278839,0.24781806766986847,5,5,5,5,5
facebook/mms-tts-gil,iq2bajdm.json,model_details,0.23713025450706482,0.26242324709892273,0.20991986989974976,3,5,3,3,3
facebook/mms-tts-gil,iq2bajdm.json,intended_use,0.2969200313091278,0.44116488099098206,0.18683990836143494,3,5,3,3,3
facebook/mms-tts-gil,iq2bajdm.json,generative_capabilities,0.20972339808940887,0.32385820150375366,0.11906278133392334,2,5,2,4,2
facebook/mms-tts-gil,iq2bajdm.json,safety_considerations,0.13410216569900513,0.2544114291667938,0.04204550012946129,1,5,1,5,1
facebook/mms-tts-gil,iq2bajdm.json,training_data,0.25124526023864746,0.2614336609840393,0.23779745399951935,5,5,5,5,5
facebook/mms-tts-gil,iq2bajdm.json,performance_metrics,0.24277347326278687,0.2892594039440155,0.19791461527347565,3,5,3,4,3
facebook/mms-tts-gil,iq2bajdm.json,ethical_considerations,0.020794356241822243,0.12722660601139069,-0.06013379245996475,1,5,1,5,1
facebook/mms-tts-gil,iq2bajdm.json,caveats_recommendations,0.23422200977802277,0.26219192147254944,0.2046799659729004,5,5,5,5,5
facebook/mms-tts-gil,5fc79m96.json,model_details,0.3501603603363037,0.3915925621986389,0.3093629777431488,4,5,4,3,4
facebook/mms-tts-gil,5fc79m96.json,intended_use,0.27467137575149536,0.40449103713035583,0.17331556975841522,3,5,3,4,3
facebook/mms-tts-gil,5fc79m96.json,generative_capabilities,-0.1600160449743271,-0.10533024370670319,-0.207057923078537,1,5,1,5,1
facebook/mms-tts-gil,5fc79m96.json,safety_considerations,-0.1600160449743271,-0.10533024370670319,-0.207057923078537,1,5,1,5,1
facebook/mms-tts-gil,5fc79m96.json,training_data,0.29398223757743835,0.38839179277420044,0.21407802402973175,4,5,4,4,4
facebook/mms-tts-gil,5fc79m96.json,performance_metrics,0.15171055495738983,0.24451880156993866,0.07511107623577118,2,5,2,4,2
facebook/mms-tts-gil,5fc79m96.json,ethical_considerations,-0.1554955095052719,-0.0987468883395195,-0.20385806262493134,1,5,1,5,1
facebook/mms-tts-gil,5fc79m96.json,caveats_recommendations,-0.16784577071666718,-0.11268032342195511,-0.21498724818229675,1,5,1,5,1
facebook/mms-tts-gil,zpxvpbl9.json,model_details,0.28437304496765137,0.43103086948394775,0.17335209250450134,2,5,2,4,2
facebook/mms-tts-gil,zpxvpbl9.json,intended_use,0.2969200313091278,0.44116488099098206,0.18683990836143494,3,5,3,4,3
facebook/mms-tts-gil,zpxvpbl9.json,generative_capabilities,0.10278099030256271,0.29142192006111145,-0.019456753507256508,1,5,1,5,1
facebook/mms-tts-gil,zpxvpbl9.json,safety_considerations,-0.1600160449743271,-0.10533024370670319,-0.207057923078537,1,5,1,5,1
facebook/mms-tts-gil,zpxvpbl9.json,training_data,0.26684778928756714,0.3480973541736603,0.19615481793880463,3,5,3,4,3
facebook/mms-tts-gil,zpxvpbl9.json,performance_metrics,0.13664944469928741,0.2328941375017166,0.058256588876247406,3,5,3,4,3
facebook/mms-tts-gil,zpxvpbl9.json,ethical_considerations,0.020794356241822243,0.12722660601139069,-0.06013379245996475,2,5,2,5,2
facebook/mms-tts-gil,zpxvpbl9.json,caveats_recommendations,-0.16784577071666718,-0.11268032342195511,-0.21498724818229675,1,5,1,5,1
facebook/mms-tts-gil,ot7txkdo.json,model_details,0.38606566190719604,0.3709392845630646,0.3986422121524811,5,5,5,5,5
facebook/mms-tts-gil,ot7txkdo.json,intended_use,0.3036842942237854,0.41868364810943604,0.2104806751012802,4,5,4,4,4
facebook/mms-tts-gil,ot7txkdo.json,generative_capabilities,0.28331971168518066,0.33614471554756165,0.23338748514652252,4,5,4,4,4
facebook/mms-tts-gil,ot7txkdo.json,safety_considerations,0.24799087643623352,0.28303036093711853,0.21245980262756348,5,5,5,5,5
facebook/mms-tts-gil,ot7txkdo.json,training_data,0.3204018771648407,0.33722439408302307,0.3010583221912384,5,5,5,5,5
facebook/mms-tts-gil,ot7txkdo.json,performance_metrics,0.27395331859588623,0.30552321672439575,0.24139055609703064,5,5,5,5,5
facebook/mms-tts-gil,ot7txkdo.json,ethical_considerations,-0.13663072884082794,-0.06587398052215576,-0.19339320063591003,2,5,2,4,2
facebook/mms-tts-gil,ot7txkdo.json,caveats_recommendations,0.2152172327041626,0.40788474678993225,0.08461731672286987,4,5,4,4,4
google/t5-efficient-small-nl36,trbad3wr.json,model_details,0.35821232199668884,0.4006601572036743,0.3165748119354248,4,5,4,4,4
google/t5-efficient-small-nl36,trbad3wr.json,intended_use,0.2054346799850464,0.27770403027534485,0.14157894253730774,3,5,3,4,3
google/t5-efficient-small-nl36,trbad3wr.json,generative_capabilities,0.28705668449401855,0.35571008920669556,0.22514452040195465,3,5,3,4,3
google/t5-efficient-small-nl36,trbad3wr.json,safety_considerations,-0.15899284183979034,-0.09664665162563324,-0.21046799421310425,1,5,1,5,1
google/t5-efficient-small-nl36,trbad3wr.json,training_data,0.24061888456344604,0.32229694724082947,0.16991694271564484,3,5,3,4,3
google/t5-efficient-small-nl36,trbad3wr.json,performance_metrics,-0.15899284183979034,-0.09664665162563324,-0.21046799421310425,1,5,1,5,1
google/t5-efficient-small-nl36,trbad3wr.json,ethical_considerations,-0.15797178447246552,-0.09810338169336319,-0.20807631313800812,1,5,1,5,1
google/t5-efficient-small-nl36,trbad3wr.json,caveats_recommendations,-0.16312715411186218,-0.09910830110311508,-0.21540766954421997,1,5,1,5,1
google/t5-efficient-small-nl36,dhw9re2q.json,model_details,0.3350466787815094,0.40047523379325867,0.2752705216407776,4,5,4,4,4
google/t5-efficient-small-nl36,dhw9re2q.json,intended_use,0.198232501745224,0.288878858089447,0.12218145281076431,3,5,3,4,3
google/t5-efficient-small-nl36,dhw9re2q.json,generative_capabilities,0.2754271328449249,0.31789422035217285,0.2337680160999298,3,5,3,4,3
google/t5-efficient-small-nl36,dhw9re2q.json,safety_considerations,-0.15899284183979034,-0.09664665162563324,-0.21046799421310425,1,5,1,5,1
google/t5-efficient-small-nl36,dhw9re2q.json,training_data,-0.15899284183979034,-0.09664665162563324,-0.21046799421310425,1,5,1,5,1
google/t5-efficient-small-nl36,dhw9re2q.json,performance_metrics,-0.15899284183979034,-0.09664665162563324,-0.21046799421310425,1,5,1,5,1
google/t5-efficient-small-nl36,dhw9re2q.json,ethical_considerations,-0.15797178447246552,-0.09810338169336319,-0.20807631313800812,1,5,1,5,1
google/t5-efficient-small-nl36,dhw9re2q.json,caveats_recommendations,-0.16312715411186218,-0.09910830110311508,-0.21540766954421997,1,5,1,5,1
google/t5-efficient-small-nl36,6jxnnngb.json,model_details,0.39540019631385803,0.5087715983390808,0.3016399145126343,5,5,5,5,5
google/t5-efficient-small-nl36,6jxnnngb.json,intended_use,0.1315678060054779,0.3128722310066223,0.010542352683842182,3,5,3,4,3
google/t5-efficient-small-nl36,6jxnnngb.json,generative_capabilities,0.16971655189990997,0.332065612077713,0.05512893199920654,3,5,3,4,3
google/t5-efficient-small-nl36,6jxnnngb.json,safety_considerations,-0.15899284183979034,-0.09664665162563324,-0.21046799421310425,1,5,1,5,1
google/t5-efficient-small-nl36,6jxnnngb.json,training_data,0.0872928723692894,0.21313729882240295,-0.0060401903465390205,3,5,3,4,3
google/t5-efficient-small-nl36,6jxnnngb.json,performance_metrics,-0.07035353779792786,0.018245235085487366,-0.13878875970840454,1,5,1,5,1
google/t5-efficient-small-nl36,6jxnnngb.json,ethical_considerations,-0.15797178447246552,-0.09810338169336319,-0.20807631313800812,1,5,1,5,1
google/t5-efficient-small-nl36,6jxnnngb.json,caveats_recommendations,0.23747004568576813,0.3518639802932739,0.14601419866085052,4,5,4,4,4
google/t5-efficient-small-nl36,pj4ufzdy.json,model_details,0.30289265513420105,0.41726014018058777,0.2100934535264969,3,5,3,3,3
google/t5-efficient-small-nl36,pj4ufzdy.json,intended_use,0.17783395946025848,0.3012019097805023,0.08277584612369537,5,5,5,5,5
google/t5-efficient-small-nl36,pj4ufzdy.json,generative_capabilities,0.12938258051872253,0.23354041576385498,0.04648683965206146,2,5,2,4,2
google/t5-efficient-small-nl36,pj4ufzdy.json,safety_considerations,-0.15899284183979034,-0.09664665162563324,-0.21046799421310425,1,5,1,5,1
